licno,address,capacity,boro,bbl,factype,cd,zipcode,juris,longitude,latitude,TableDate
2094609-DCA,200 CHAMBERS ST,59,Manhattan,1001427502.0,Garage and Parking Lot,101.0,10007.0,NYCDCWP,-74.0123949,40.7165768,2022_08
2097704-DCA,250 E 87TH ST,146,Manhattan,1015320022.0,Garage,108.0,10028.0,NYCDCWP,-73.9518333,40.7783846,2022_08
2096887-DCA,301 E 86TH ST,168,Manhattan,1015490001.0,Garage,108.0,10028.0,NYCDCWP,-73.9508298,40.777967,2022_08
2103455-DCA,8936 SUTPHIN BLVD,118,Queens,4096760013.0,Garage,412.0,11435.0,NYCDCWP,-73.80876620000001,40.7030406,2022_08
2085375-DCA,345 SHEFFIELD AVE,68,Brooklyn,3037717501.0,Garage,305.0,11207.0,NYCDCWP,-73.8956887,40.6689304,2022_08
2103464-DCA,17802 HILLSIDE AVE,100,Queens,4099130025.0,Garage,412.0,11432.0,NYCDCWP,-73.78476397,40.71202578,2022_08
2103471-DCA,13338 SANFORD AVE,82,Queens,4051217501.0,Garage,407.0,11355.0,NYCDCWP,-73.82930019999999,40.7559919,2022_08
0368337-DCA,165 W 66TH ST,77,Manhattan,1011380001.0,Garage,107.0,10023.0,NYCDCWP,-73.98375990000001,40.7748583,2022_08
1068098-DCA,18 CLIFF ST,150,Manhattan,1000750035.0,Parking Lot,101.0,10038.0,NYCDCWP,-74.0052696,40.7078435,2022_08
1199399-DCA,207 E 95TH ST,212,Manhattan,1015410001.0,Garage and Parking Lot,108.0,10128.0,NYCDCWP,-73.9492396,40.7846799,2022_08
2103676-DCA,3819 UNION ST,46,Queens,4050200003.0,Garage,407.0,11354.0,NYCDCWP,-73.8264929,40.7612027,2022_08
2045155-DCA,170 PARK ROW,190,Manhattan,1001610001.0,Garage,103.0,10007.0,NYCDCWP,-73.9998774,40.713651500000005,2022_08
2103699-DCA,1749 1ST AVE,39,Manhattan,1015530027.0,Garage,108.0,10128.0,NYCDCWP,-73.94749920000001,40.78000479999999,2022_08
2053019-DCA,730 COLUMBUS AVE,44,Manhattan,1012260029.0,Garage,107.0,10025.0,NYCDCWP,-73.9681757,40.7926217,2022_08
1339578-DCA,205 W FORDHAM RD,59,Bronx,2032360220.0,Parking Lot,207.0,10468.0,NYCDCWP,-73.9097736,40.8626771,2022_08
2069910-DCA,343 GOLD ST,252,Brooklyn,3020490002.0,Garage,302.0,11201.0,NYCDCWP,-73.9828853,40.6940773,2022_08
0968559-DCA,170 W 23RD ST,105,Manhattan,1007987502.0,Garage,104.0,10011.0,NYCDCWP,-73.9954385,40.7435775,2022_08
0953178-DCA,85 8TH AVE,47,Manhattan,1007387501.0,Garage,104.0,10011.0,NYCDCWP,-74.00260540000001,40.7403443,2022_08
1256221-DCA,304 E 53RD ST,18,Manhattan,1013457501.0,Garage,106.0,10022.0,NYCDCWP,-73.96694409999999,40.756393599999996,2022_08
2103596-DCA,4501 BROADWAY,117,Manhattan,1021800633.0,Garage,112.0,10040.0,NYCDCWP,-73.9322141,40.8586687,2022_08
2045376-DCA,525 W 28TH ST,143,Manhattan,1007000009.0,Garage,104.0,10001.0,NYCDCWP,-74.0036093,40.7518475,2022_08
2103698-DCA,340 E 94TH ST,124,Manhattan,1015560023.0,Garage,108.0,10128.0,NYCDCWP,-73.9462556,40.781780100000006,2022_08
2068557-DCA,135 E 31ST ST,141,Manhattan,1008870030.0,Garage and Parking Lot,106.0,10016.0,NYCDCWP,-73.98011159999999,40.7444762,2022_08
2098496-DCA,3040 WHITESTONE EXPY,205,Queens,0.0,Parking Lot,407.0,11357.0,NYCDCWP,-73.83495552,40.77086018,2022_08
2103399-DCA,123 HOPE ST,92,Brooklyn,3023740001.0,Garage,301.0,11211.0,NYCDCWP,-73.95334179999999,40.712549700000004,2022_08
2103406-DCA,21010 23RD AVE,702,Queens,4058937501.0,Garage,407.0,11360.0,NYCDCWP,-73.7810506,40.778409,2022_08
